created_at,approval_status,custom_source,Which of the following best describes your background? ,Which part of AI interests you most?,Pls specify area of interest (if selected other),Are you interested in contributing to the GenAI collective community?,What will you help you best with your AI project or startup ideas? (Helps us plan better programming for you!),Is it ok to share your contact for networking? This is a networking event after all :)
2025-02-21T05:09:42.033Z,approved,,investor,"Startups, Business",,"Volunteering at events, Helping with social media & content",,
2025-02-24T17:25:51.040Z,approved,,"Executive, General","Business, Education, Research, Ethics",,Volunteering at events,,Yes
2025-02-25T17:00:48.489Z,approved,,"Operator/Service provider, Researcher, Founder","Startups, Research, Business",,"Volunteering at events, Writing blogs/articles on AI",Efficient and cost effective GTM tech stack,Yes
2025-03-01T23:02:27.890Z,approved,,General,HealthCare,,Speaking at future meetups,AI governance and regulations,Yes
2025-02-27T01:01:01.125Z,approved,,Executive,CyberSecurity,,Speaking at future meetups,Great knowledge sharing ,Yes
2025-03-04T03:47:38.540Z,approved,,Student,"HealthCare, Education, Startups, Business",,Volunteering at events,No idea yet ,Yes
2025-02-27T20:48:51.180Z,approved,,"Engineer, Student","Research, Design",Application of GenAI for new materials Discovery ,"Writing blogs/articles on AI, Helping with social media & content",,Yes
2025-02-22T18:40:54.369Z,approved,,"Engineer, Founder","Startups, Research, Finance",,,,Yes
2025-02-24T17:16:56.310Z,approved,substack,Executive,Startups,,,Understanding the pain points,Yes
2025-03-02T02:09:56.961Z,approved,,"Founder, Engineer",Startups,,Volunteering at events,Someone teaching me LangChain,Yes
2025-02-22T16:32:10.681Z,approved,,Media,HealthCare,,Helping with social media & content,,Yes
2025-02-27T19:30:28.061Z,approved,,Researcher,"Research, Startups",Large Language Models,,,Yes
2025-03-02T01:55:08.735Z,approved,,General,"HealthCare, Startups",,,,Yes
2025-03-03T21:44:46.925Z,approved,,"Founder, Engineer","Business, Design, Startups",,"Writing blogs/articles on AI, Speaking at future meetups, Sponsoring or partnering, Chapter Leadership","right now i have a tight feedback loop for product improvement. i'd love to talk about it in front of a curious audience; it would help get exposure to my product and ideas, which entails feedback, which is the most valuable for me. ",Yes
2025-03-02T15:21:52.291Z,approved,,Founder,Startups,Software Development,Speaking at future meetups,,Yes
2025-02-26T14:59:58.225Z,approved,,Founder,"Startups, Business",,Speaking at future meetups,,Yes
2025-02-21T00:15:03.441Z,approved,,founder,"Startups, Business",,"Chapter Leadership, Sponsoring or partnering",,
2025-03-02T16:18:23.224Z,approved,PopIn,Engineer,"Startups, Business",,"Speaking at future meetups, Writing blogs/articles on AI",,Yes
2025-02-24T14:42:32.558Z,approved,,Founder,"Startups, Design, Finance",,,,Yes
2025-03-03T04:37:22.975Z,approved,,General,Business,,Volunteering at events,,Yes
2025-02-24T17:29:10.789Z,approved,,Researcher,HealthCare,,Writing blogs/articles on AI,Funding and Research,Yes
2025-03-01T05:42:54.341Z,approved,,Engineer,HealthCare,,,,Yes
2025-03-01T18:28:29.890Z,approved,popin,"Executive, Researcher, Media","HealthCare, Education, Startups, CyberSecurity, Ethics",,Helping with social media & content,,Yes
2025-02-24T21:45:37.250Z,approved,,General,"Startups, Business, Finance",,,,Yes
2025-02-26T18:05:05.710Z,approved,,"Founder, Engineer",Startups,,,,Yes
2025-02-17T23:45:49.230Z,approved,,,"AI & Business Applications, AI Research, AI & Education",,Speaking at future meetups,,
2025-02-24T14:19:43.708Z,approved,,"Investor, Founder",Business,,,,Yes
2025-03-01T22:03:30.390Z,approved,,Engineer,HealthCare,,,,Yes
2025-03-02T21:05:54.355Z,approved,,"Engineer, Student","Research, Other(pls specify)",Robotics,,,Yes
2025-02-26T21:15:05.894Z,approved,,Researcher,Startups,,,,Yes
2025-02-28T03:20:11.847Z,approved,,Researcher,"Design, Business, Research, HealthCare, Education",,Volunteering at events,,Yes
2025-02-22T17:09:32.292Z,approved,,"Engineer, Founder","Startups, Finance, Research",,,Collaboration with other blockchain developers and access to AI resources.,Yes
2025-03-01T00:19:19.541Z,approved,,Student,"CyberSecurity, Startups, Business",,,,Yes
2025-02-24T03:18:51.266Z,approved,vector,"Student, Researcher","HealthCare, Research",,,,Yes
2025-03-03T20:12:30.034Z,approved,,Founder,"Business, Startups, CyberSecurity, HealthCare, Research, Ethics",,Speaking at future meetups,,Yes
2025-02-22T01:15:28.461Z,approved,,"Founder, Operator/Service provider","Business, Startups, Finance",,Chapter Leadership,Tools,
2025-02-23T15:44:13.191Z,approved,,Founder,HealthCare,,Speaking at future meetups,Meet engineers and people with deep AI knowledge,Yes
2025-02-24T00:53:20.692Z,approved,vector,Researcher,"Research, Startups",,"Volunteering at events, Helping with social media & content",,Yes
2025-03-03T03:27:28.502Z,approved,,Founder,"Research, Design, Education, Startups, Business",,,,Yes
2025-03-01T00:32:40.689Z,approved,,"Student, Engineer","Ethics, Startups, Education",,,,Yes
2025-03-01T02:30:16.450Z,approved,,Researcher,Education,,Volunteering at events,Role of AI in education,Yes
2025-02-28T00:05:37.061Z,approved,,"Student, Engineer","Research, CyberSecurity",,"Volunteering at events, Writing blogs/articles on AI",A complete training project to better understand the process,Yes
2025-03-03T20:18:16.637Z,approved,,"Founder, Operator/Service provider","Design, Business, HealthCare",Marketing,"Chapter Leadership, Volunteering at events",Hands on workshops and training with the latest AI releases and apps,Yes
2025-02-23T10:29:25.438Z,approved,,"Operator/Service provider, Investor","Finance, HealthCare",,"Helping with social media & content, Writing blogs/articles on AI",,Yes
2025-03-02T17:31:01.032Z,approved,,Engineer,Startups,,Speaking at future meetups,TBD,Yes
2025-02-28T14:25:31.275Z,approved,,"Founder, Executive","CyberSecurity, Finance",,Speaking at future meetups,,Yes
2025-02-28T15:22:17.094Z,approved,,Researcher,"Startups, Education, Research",,,,Yes
2025-02-22T18:37:20.662Z,approved,,"Founder, Engineer","Startups, Design, Business",,,Networking with like-minded crowd who are serious in building quality Gen AI products..,Yes
2025-03-03T02:37:33.551Z,approved,,General,CyberSecurity,,,,Yes
2025-02-25T02:28:54.320Z,approved,,"Engineer, Investor, Founder","Business, HealthCare, Education, Startups, CyberSecurity, Research",,"Volunteering at events, Speaking at future meetups",Connecting with people that are very knowledgeable ,Yes
2025-02-28T00:32:56.820Z,approved,plink,Student,Finance,,Volunteering at events,,Yes
2025-02-26T00:50:38.076Z,approved,,Founder,"Business, Design, Startups",,"Speaking at future meetups, Writing blogs/articles on AI",,Yes
2025-02-25T22:00:40.056Z,approved,,"Investor, Student, Media","Business, Research, Finance",,,,Yes
2025-02-28T19:44:22.866Z,approved,,Founder,Design,,,,Yes
2025-02-24T18:35:16.673Z,approved,substack,Founder,"Ethics, Business, Startups, Research",,"Speaking at future meetups, Chapter Leadership",Networking ,Yes
2025-02-27T21:29:27.853Z,approved,,General,Business,Real Estate,,Show and tell case studies / use cases,Yes
2025-02-24T15:27:43.827Z,approved,,General,HealthCare,,"Chapter Leadership, Volunteering at events, Helping with social media & content",Speaker panels and insight from successful projects,Yes
2025-02-22T16:37:44.706Z,approved,,"Student, Researcher","Business, Startups",,,,Yes
2025-03-03T02:23:29.914Z,approved,,General,Business,,Volunteering at events,,Yes
2025-03-02T23:47:17.662Z,approved,,Engineer,"CyberSecurity, Ethics",,Volunteering at events,,Yes
2025-03-03T22:37:42.175Z,approved,,General,Business,,Writing blogs/articles on AI,,Yes
2025-03-03T16:16:27.230Z,approved,,Founder,HealthCare,,Speaking at future meetups,Talent,Yes
2025-02-25T11:07:00.013Z,approved,,"Founder, Operator/Service provider","Startups, Ethics, Business, HealthCare, Education",,"Speaking at future meetups, Chapter Leadership, Sponsoring or partnering",showcasing the best product pivots with rise of AI Agents,Yes
2025-02-24T17:24:57.098Z,approved,substack,"Engineer, Researcher","Research, Design",,,Ai in electronics industry.,Yes
2025-02-25T14:59:46.446Z,approved,,Founder,HealthCare,,,,Yes
2025-02-26T11:52:47.679Z,approved,,Operator/Service provider,Startups,,"Speaking at future meetups, Chapter Leadership",Plan a recruiting night for AI startups,Yes
2025-02-27T21:58:51.237Z,approved,psoc,Student,"HealthCare, Education, Research",,,Mentors ,Yes
2025-02-22T20:26:20.364Z,approved,,"Student, Engineer","Startups, Education",,,"networking opportunities, meetups to get a better idea of what people are working on, latest technology trends within the space etc",Yes
2025-02-25T06:42:16.157Z,approved,plink,"Engineer, General","HealthCare, Finance",,Volunteering at events,,Yes
2025-03-03T21:39:44.946Z,approved,,Student,Education,,,,No
2025-03-01T21:17:10.327Z,approved,,Founder,Startups,Automated data workflows,Volunteering at events,Connecting with researchers and entrepreneurs in the space,Yes
2025-03-01T21:31:04.941Z,approved,,"Student, Engineer, Researcher",Business,,,,Yes
2025-02-22T14:40:39.035Z,approved,,Executive,Business,,Volunteering at events,Helping young entrepreneurs get to market successfully,
2025-03-02T21:26:34.301Z,approved,,Student,"Startups, Research, Finance",,"Chapter Leadership, Volunteering at events, Writing blogs/articles on AI",,Yes
2025-02-25T06:58:43.163Z,approved,popin,"Operator/Service provider, General","Business, Education, Finance, Ethics, HealthCare",,"Sponsoring or partnering, Volunteering at events",,Yes
2025-02-20T21:00:07.873Z,approved,,general/other,Other(pls specify),,,,
2025-03-04T03:54:39.842Z,approved,,Founder,Startups,,,,Yes
2025-02-28T16:49:20.036Z,approved,,Founder,"HealthCare, Startups, Business",,Speaking at future meetups,,Yes
2025-03-01T23:32:09.965Z,approved,PopIn,"Student, Engineer","Startups, Business",,Writing blogs/articles on AI,,Yes
2025-03-03T21:26:09.480Z,approved,,"Engineer, Researcher","Startups, HealthCare, Business, Education, Design",,,,Yes
2025-03-01T15:50:35.585Z,approved,,Student,"Startups, CyberSecurity, HealthCare",,Volunteering at events,,Yes
2025-03-03T23:26:32.195Z,approved,,"Founder, Investor, Engineer","HealthCare, Startups, Other(pls specify)",Hardware (custom accelerator ASICs),Volunteering at events,Debunk the myths (AGI/ASI),Yes
2025-02-26T13:05:27.484Z,approved,popin,"Founder, Investor, Engineer","Research, Startups, Education",,Speaking at future meetups,,Yes
2025-02-27T03:59:32.741Z,approved,,"Engineer, Founder","Business, Startups",,"Writing blogs/articles on AI, Volunteering at events, Chapter Leadership, Helping with social media & content, Speaking at future meetups",Hands on activities to build things.,Yes
2025-02-25T16:23:56.566Z,approved,,Engineer,"Business, Education, Startups, CyberSecurity, Research",,,,Yes
2025-02-17T16:21:22.561Z,approved,,,AI & Design (UX/HCI),,,,
2025-02-24T16:13:26.892Z,approved,,Founder,Business,,,,Yes
2025-02-28T04:12:37.086Z,approved,,Engineer,Business,,,Practical discussions on AI,Yes
2025-02-25T01:23:34.444Z,approved,,Executive,CyberSecurity,,Speaking at future meetups,,Yes
2025-02-25T15:30:40.899Z,approved,popin,Founder,Business,,,,Yes
2025-02-22T19:01:39.089Z,approved,,Student,"HealthCare, Business",,"Helping with social media & content, Writing blogs/articles on AI","Learning new methodologies, and products",Yes
2025-03-01T18:32:06.856Z,approved,popin,Founder,"Education, Startups, Business",,"Volunteering at events, Speaking at future meetups",,Yes
2025-03-01T17:30:40.551Z,approved,PopIn,General,Other(pls specify),Production grade Local Inference ,Speaking at future meetups,,Yes
2025-03-02T01:45:46.499Z,approved,,Founder,Business,,,Ability to hire from the community! And potentially how-to nights or like Agents 101 for example where you run through how to get something set up and working with the latest tools.,Yes
2025-03-04T14:09:44.365Z,approved,,Executive,"Design, Business, Startups, Research",Video Game Development,,,Yes
2025-03-04T14:39:01.503Z,approved,,Founder,Business,Industrial maintenance ,"Chapter Leadership, Writing blogs/articles on AI, Speaking at future meetups",Contacts with companies to test our solution and interns to help develop the product ,Yes
2025-03-01T00:26:49.172Z,approved,,Founder,"Design, HealthCare",,Speaking at future meetups,Showcasing student work ,Yes
2025-02-28T12:13:18.796Z,approved,,"Student, Researcher","Startups, Education, Research",,"Volunteering at events, Speaking at future meetups","Meeting with people who have gone through the journey before, listening to them speak and meeting like minded individuals with similar goals that I can collaborate with",Yes
2025-02-26T10:04:46.360Z,approved,,"Founder, Executive","HealthCare, Education, Startups",,Speaking at future meetups,,Yes
2025-03-02T21:33:33.263Z,approved,,Founder,"Business, Startups, Design, Other(pls specify), Finance",Diffusion Model,Volunteering at events,,Yes
2025-03-03T19:12:10.313Z,approved,,Founder,Business,,Volunteering at events,,Yes
2025-02-24T17:14:45.469Z,approved,,Researcher,"Education, Research",,Speaking at future meetups,,Yes
2025-02-27T19:27:35.113Z,approved,,"Student, Engineer, Researcher","Startups, Research, Business",,"Volunteering at events, Writing blogs/articles on AI, Helping with social media & content",,Yes
2025-03-02T19:24:06.594Z,approved,,Engineer,"HealthCare, Startups, Research",,,,Yes
2025-02-22T17:23:54.015Z,approved,,"Student, Engineer","HealthCare, Startups",,,,Yes
2025-02-24T00:03:16.583Z,approved,,Operator/Service provider,Startups,,"Writing blogs/articles on AI, Helping with social media & content, Volunteering at events","Networking with other enthusiasts mostly, but also, hands on workshop sessions on topics like generative coding with Cursor, or building effective AI Agents ",Yes
2025-02-24T19:10:50.891Z,approved,TechTO,"Founder, Engineer","CyberSecurity, Startups",,Speaking at future meetups,"maybe an ecosystem showing who is working on what, making it easier to connect and partner",Yes
2025-02-28T15:44:51.145Z,approved,substack,Student,HealthCare,,,,Yes
2025-02-28T21:22:20.353Z,approved,,"Founder, Engineer","Finance, Business, Startups",,,,Yes
2025-02-25T02:50:30.945Z,approved,tks,Student,"Startups, Business",,,Eager to learn more about AI in search for mentorship’s and opportunities.,Yes
2025-02-28T12:29:36.687Z,approved,plink,General,"Startups, Business",automation,"Speaking at future meetups, Writing blogs/articles on AI, Sponsoring or partnering",hands on workshops,Yes
2025-02-23T21:36:24.548Z,approved,popin,Student,"Design, Startups",,Volunteering at events,"Networking, and understand what's possible for ai integration for my project ",Yes
2025-02-24T15:21:03.240Z,approved,popin,Operator/Service provider,Startups,,Volunteering at events,"Use of AI with IoT, Cameras and/or Drones",Yes
2025-03-04T01:03:36.374Z,approved,,Student,"HealthCare, Education, Research",,,introductory level ,Yes
2025-02-26T15:45:40.644Z,approved,,"Founder, Engineer","Business, Startups, Education, Finance",,"Volunteering at events, Speaking at future meetups, Chapter Leadership",Tips on how to stay up date and demos,Yes
2025-03-04T03:58:07.040Z,approved,,General,"Design, Startups",,"Volunteering at events, Helping with social media & content",,Yes
2025-03-03T00:49:49.499Z,approved,,"Founder, Student","Business, Startups, Design",,Volunteering at events,,Yes
2025-02-24T02:41:17.981Z,approved,vector,"Researcher, Engineer, Student",Business,,,,Yes
2025-03-03T14:18:31.719Z,approved,,Operator/Service provider,Startups,Financial Strategy + Tax Credits + Grants ,,Networking time,Yes
2025-02-28T01:21:37.623Z,approved,,"Researcher, Student, Engineer","Startups, Research, HealthCare, Business, Finance",,"Volunteering at events, Writing blogs/articles on AI, Speaking at future meetups",including industry leaders and business managers in events,Yes
2025-02-24T02:42:17.442Z,approved,,"Engineer, Student","Startups, Business, Research",,Volunteering at events,"Hands-on workshops, Hackaton, Useful lectures and presentation",Yes
2025-02-28T01:08:51.714Z,approved,,Founder,Business,,Speaking at future meetups,,Yes
2025-03-04T05:28:57.971Z,approved,substack,Founder,"Startups, Business",,,,Yes
2025-02-20T20:43:37.334Z,approved,,student,HealthCare,,Chapter Leadership,,
2025-03-01T18:55:20.525Z,approved,popin,General,"HealthCare, Education, Ethics",,"Writing blogs/articles on AI, Helping with social media & content, Volunteering at events",,Yes
2025-03-03T16:05:21.149Z,approved,,General,"Startups, Education, Business",,"Volunteering at events, Writing blogs/articles on AI",,Yes
2025-03-03T16:15:25.234Z,approved,popin,"General, Engineer","Business, Education, Design",,Chapter Leadership,,Yes
2025-02-21T19:17:03.365Z,approved,,Student,Design,,,,
2025-02-27T23:05:11.445Z,approved,plink,Founder,Business,,"Chapter Leadership, Volunteering at events, Helping with social media & content",,Yes
2025-02-28T19:34:17.815Z,approved,,"Researcher, Engineer",HealthCare,,,,Yes
2025-02-24T16:27:49.419Z,approved,,General,Business,,Sponsoring or partnering,,Yes
2025-02-24T16:23:50.230Z,approved,substack,General,"Finance, Business, HealthCare, Startups",,"Sponsoring or partnering, Speaking at future meetups","Start an AI powered consulting business. AI agent that can automate workflow and generate leads, follow up on emails, follow up with clients. Solutioning.",Yes
2025-03-03T01:55:15.369Z,approved,,General,Business,"Fraud, Risk, AML",,,Yes
2025-02-25T14:59:44.029Z,approved,,Operator/Service provider,"Startups, Education",,"Writing blogs/articles on AI, Speaking at future meetups, Helping with social media & content",,Yes
2025-02-23T19:21:10.513Z,approved,,"Founder, Student","Startups, Business",,Speaking at future meetups,"Networking, mentorship, and opportunities.",Yes
2025-03-03T16:14:11.395Z,approved,,Student,"HealthCare, Design, Education",,"Chapter Leadership, Volunteering at events","Having the following in my team: Machine learning and data science experts, Researchers especially in biomedical research involving drug design",Yes
2025-02-28T03:20:54.469Z,approved,plink,"General, Founder","Design, Research, Startups",,"Volunteering at events, Speaking at future meetups, Writing blogs/articles on AI, Helping with social media & content","Toolkits, New tools and how people leverage it, stories of success, design ",Yes
2025-03-03T13:15:45.673Z,approved,,Founder,"Finance, Startups",,Chapter Leadership,"More intimate discussions, fireside chats & hands-on workshops",Yes
2025-02-25T21:57:27.186Z,approved,,Media,Business,,,,Yes
2025-02-22T19:03:03.756Z,approved,popin,Founder,"Startups, Business, Education",,"Chapter Leadership, Speaking at future meetups",I can help other starting out with Gen AI,Yes
2025-02-26T21:13:57.138Z,approved,,Investor,Startups,,,,Yes
2025-02-27T20:24:21.364Z,approved,,Student,"Finance, Business, HealthCare",,"Writing blogs/articles on AI, Volunteering at events",,Yes
2025-02-25T16:06:38.567Z,approved,,Founder,Business,,Speaking at future meetups,,Yes
2025-02-26T17:25:20.848Z,approved,popin,Engineer,"Startups, HealthCare, Business, CyberSecurity",,"Writing blogs/articles on AI, Speaking at future meetups",,Yes
2025-02-24T16:28:19.589Z,approved,vector,"Engineer, Student, Researcher",Startups,,Sponsoring or partnering,,Yes
2025-03-01T18:52:39.245Z,approved,,General,"Business, Education, CyberSecurity, Ethics",,"Chapter Leadership, Volunteering at events, Speaking at future meetups",,Yes
2025-02-28T01:22:42.044Z,approved,plink,Founder,Startups,,,,Yes
2025-02-28T15:15:25.187Z,approved,,"Student, Engineer, Researcher",HealthCare,,"Writing blogs/articles on AI, Volunteering at events",,Yes
2025-02-28T22:15:33.239Z,approved,,Engineer,"Education, Design",,,,Yes
2025-02-24T18:08:27.802Z,approved,,Founder,"Business, Startups, Education",,,Looking for a marketing role in AI,Yes
2025-03-02T21:51:03.867Z,approved,,Engineer,Startups,,,,Yes
2025-03-03T20:08:48.471Z,approved,,General,"Startups, Business",,"Volunteering at events, Writing blogs/articles on AI",Startup ideas,Yes
2025-03-04T03:06:08.203Z,approved,,"Founder, Engineer","Finance, Design, Other(pls specify)",Legal,,Tips on building opensource GenAI project,Yes
2025-02-25T15:36:55.139Z,approved,substack,Founder,"Startups, Business",,"Volunteering at events, Speaking at future meetups, Helping with social media & content",,Yes
2025-02-24T16:05:59.418Z,approved,popin,Investor,Business,,Sponsoring or partnering,Comprehensive AI tools / solutions,Yes
2025-03-02T01:14:15.074Z,approved,plink,Engineer,"Education, Research, Startups, HealthCare, Ethics, Finance",,"Chapter Leadership, Helping with social media & content, Sponsoring or partnering, Writing blogs/articles on AI",,Yes
2025-02-27T20:02:13.208Z,approved,,"Engineer, Student","Startups, Design",,Volunteering at events,,Yes
2025-02-25T23:20:48.149Z,approved,,Founder,"Business, Startups",,,,Yes
2025-03-04T01:43:12.301Z,approved,,Media,"Design, Education, Research, HealthCare",,"Volunteering at events, Speaking at future meetups, Writing blogs/articles on AI, Helping with social media & content",No idea right now.,Yes
2025-02-28T21:11:30.662Z,approved,plink,"Engineer, Researcher","Startups, CyberSecurity, Research, Ethics, Design",,,,Yes
2025-02-25T18:45:21.434Z,approved,,Investor,Startups,,,,Yes
2025-03-04T01:14:16.758Z,approved,,"General, Engineer","HealthCare, Startups, Design",,Writing blogs/articles on AI,"Market landscape of creative AI for artists, content creator and other creatives",Yes
2025-03-04T13:21:53.984Z,approved,,Founder,"Business, Startups, Education","Proptech, platforms, apps","Speaking at future meetups, Helping with social media & content, Writing blogs/articles on AI",Hi I’ve started a Meetup for WorkOptional to focus on AI impact on future of work.  We’ll have eventsa on/offline in Thailand and USA: https://www.meetup.com/workoptional-ai-future-of-work/ we do a lot of education events on AI and future of work and research ,Yes
2025-03-03T20:23:29.931Z,approved,,Founder,Business,,"Chapter Leadership, Writing blogs/articles on AI, Helping with social media & content",Ai stack for automating-reporting ,Yes
2025-02-27T00:52:48.005Z,approved,,Student,"Business, Startups",,"Volunteering at events, Speaking at future meetups, Chapter Leadership, Writing blogs/articles on AI, Helping with social media & content",,Yes
2025-03-03T17:12:28.262Z,approved,,"Founder, Engineer, Researcher, Executive, Investor","Finance, Other(pls specify)",The datacenter and surrounding infrastructure ,"Speaking at future meetups, Writing blogs/articles on AI",Connecting with data center operators and large data procurement customers to enable sustainable datacenter development,Yes
2025-03-04T05:44:45.215Z,approved,,"Engineer, Founder",Finance,,,,Yes
2025-03-02T22:41:06.629Z,approved,,Engineer,HealthCare,,,,Yes
2025-02-23T22:22:45.297Z,approved,,Engineer,"Startups, Education",,,,Yes
2025-02-26T23:10:13.738Z,approved,,Researcher,"Design, HealthCare, Startups, Research",,,,Yes
2025-02-25T14:24:49.476Z,approved,,"Researcher, Student","HealthCare, Research",,"Chapter Leadership, Speaking at future meetups",,Yes
2025-02-23T21:43:57.214Z,approved,,Student,Startups,,Volunteering at events,,Yes
2025-02-25T20:16:20.860Z,approved,vector,"Founder, General","Business, Education, Startups",,,,Yes
2025-03-01T16:55:50.216Z,approved,,Founder,"CyberSecurity, Business, HealthCare, Startups",,"Chapter Leadership, Speaking at future meetups, Helping with social media & content",,Yes
